"Shipment ID,Carrier,Status,Cost,Tracking Ref,Origin,Destination,Priority,Departure Date,Expected Arrival,Delivery Date"
"SHP001,DPD,Delivered,12.5,TR001,London,Paris,Medium,2025-07-27,2025-07-30,2025-07-30"
"SHP002,FedEx,In Transit,48,TR002,Birmingham,Berlin,High,2025-08-06,2025-08-10,2025-08-10"
"SHP003,DHL,Delayed,15.75,TR003,Manchester,Madrid,High,2025-08-03,2025-08-12,2025-08-12"
"SHP004,XYZ Express,Cancelled,99.99,,Leeds,Rome,Low,,,"
"SHP005,DPD,Delivered,13,TR005,Bristol,""Hook, UK"",Medium,2025-07-26,2025-07-29,2025-07-29"
"SHP006,UPS,Delayed,20,TR006,Liverpool,Scotland,Medium,2025-08-04,2025-08-11,2025-08-11"
"SHP007,DPD,Delivered,36.54733333,TR007,London,Paris,Medium,2025-07-29,2025-08-01,2025-08-01"
"SHP008,FedEx,In Transit,37.02561905,TR008,Birmingham,Berlin,High,2025-08-07,2025-08-13,2025-08-13"
"SHP009,DHL,Delayed,37.50390476,TR009,Manchester,Madrid,High,2025-08-05,2025-08-14,2025-08-14"
"SHP010,XYZ Express,Cancelled,37.98219048,TR010,Leeds,Rome,Low,,,"
"SHP011,DPD,Delivered,38.46047619,TR011,Bristol,""Hook, UK"",Medium,2025-07-30,2025-08-02,2025-08-02"
"SHP012,DPD,Delayed,38.9387619,TR012,Liverpool,Scotland,Medium,2025-08-06,2025-08-15,2025-08-15"
"SHP013,DPD,Delayed,39.9387619,TR013,Liverpool,Scotland,Medium,2025-08-07,2025-08-16,2025-08-16"

